"Title","Release Year","Locations","Fun Facts","Production Company","Distributor","Director","Writer","Actor 1","Actor 2","Actor 3","lat","lng"
"180","2011","200 block Market Street","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand","37.7931317","-122.3965345"
"180","2011","City Hall","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand","37.7894465","-122.3950747"
"180","2011","Polk & Larkin Streets","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand","27.8617347","-81.6911559"
"180","2011","Randall Museum","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand","37.7644489","-122.4381707"
"180","2011","555 Market St.","","SPI Cinemas","","Jayendra","Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth","Nithya Menon","Priya Anand","37.7899845","-122.3998704"
"24 Hours on Craigslist","2005","","","Yerba Buena Productions","Zealot Pictures","Michael Ferris Gibson","N/A","Craig Newmark","","","37.7749295","-122.4194155"
"24 Hours on Craigslist","2005","","","Yerba Buena Productions","Zealot Pictures","Michael Ferris Gibson","N/A","Craig Newmark","","","37.7749295","-122.4194155"
"40 Days and 40 Nights","2002","Café Trieste (609 Vallejo)","Francis Ford Coppola allegedly wrote large portions of ""The Godfather"" trilogy in Café Trieste.","Miramax Films","Miramax Films","Michael Lehmann","Robert Perez","Josh Hartnett","Shaynnyn Sossamon","","37.7986441","-122.4073278"
"40 Days and 40 Nights","2002","The Walden House, Buena Vista Park","Established in 1867, Buena Vista Park is the oldest official park in San Francisco.","Miramax Films","Miramax Films","Michael Lehmann","Robert Perez","Josh Hartnett","Shaynnyn Sossamon","","37.7694073","-122.4431187"
"40 Days and 40 Nights","2002","The Walden House, Buena Vista Park","Established in 1867, Buena Vista Park is the oldest official park in San Francisco.","Miramax Films","Miramax Films","Michael Lehmann","Robert Perez","Josh Hartnett","Shaynnyn Sossamon","","37.7694073","-122.4431187"
"40 Days and 40 Nights","2002","Café Trieste (609 Vallejo)","Francis Ford Coppola allegedly wrote large portions of ""The Godfather"" trilogy in Café Trieste.","Miramax Films","Miramax Films","Michael Lehmann","Robert Perez","Josh Hartnett","Shaynnyn Sossamon","","37.7986441","-122.4073278"
"48 Hours","1982","","","Paramount Pictures","Paramount Pictures","Walter Hill","Walter Hill","Nick Nolte","Eddie Murphy","Annette O'Toole","37.7749295","-122.4194155"
"48 Hours","1982","","","Paramount Pictures","Paramount Pictures","Walter Hill","Walter Hill","Nick Nolte","Eddie Murphy","Annette O'Toole","37.7749295","-122.4194155"
"50 First Dates","2004","Rainforest Café (145 Jefferson Street)","","Columbia Pictures Corporation","Columbia Pictures","Peter Segal","George Wing","Adam Sandler","Drew Barrymore","","37.8080677","-122.4146499"
"50 First Dates","2004","Rainforest Café (145 Jefferson Street)","","Columbia Pictures Corporation","Columbia Pictures","Peter Segal","George Wing","Adam Sandler","Drew Barrymore","","37.8080677","-122.4146499"
"About a Boy","2014","Broderick from Fulton to McAlister","","NBC Studios","National Broadcasting Company","Mark J. Kunerth","Jason Katims","David Walton","Minnie Driver","","37.7782213","-122.4350777"
"About a Boy","2014","Powell from Bush and Sutter","","NBC Studios","National Broadcasting Company","Mark J. Kunerth","Jason Katims","David Walton","Minnie Driver","","37.7900389","-122.4087098"
"About a Boy","2014","Crissy Field","","NBC Studios","National Broadcasting Company","Mark J. Kunerth","Jason Katims","David Walton","Minnie Driver","","37.8040257","-122.4650165"
"About a Boy","2014","Broderick from Fulton to McAlister","","NBC Studios","National Broadcasting Company","Mark J. Kunerth","Jason Katims","David Walton","Minnie Driver","","37.7782213","-122.4350777"
"About a Boy","2014","Crissy Field","","NBC Studios","National Broadcasting Company","Mark J. Kunerth","Jason Katims","David Walton","Minnie Driver","","37.8040257","-122.4650165"
"About a Boy","2014","Powell from Bush and Sutter","","NBC Studios","National Broadcasting Company","Mark J. Kunerth","Jason Katims","David Walton","Minnie Driver","","37.7900389","-122.4087098"
"After the Thin Man","1936","Coit Tower","The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.","Metro-Goldwyn Mayer","Metro-Goldwyn Mayer","W.S. Van Dyke","Frances Goodrich","William Powell","Myrna Loy","James Stewart","37.8023949","-122.4058222"
"After the Thin Man","1936","Coit Tower","The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.","Metro-Goldwyn Mayer","Metro-Goldwyn Mayer","W.S. Van Dyke","Frances Goodrich","William Powell","Myrna Loy","James Stewart","37.8023949","-122.4058222"
"Age of Adaline","2015","Driving various SF Streets","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn","37.7640751","-122.4188655"
"Age of Adaline","2015","Montgomery/Green","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn","37.8001126","-122.4042717"
"Age of Adaline","2015","California @ Montgomery","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn","37.79730929999999","-122.4036994"
"Age of Adaline","2015","Pier 50- end of the pier","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn","37.7739633","-122.3871498"
"Age of Adaline","2015","Plate Shots SF streets various","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn","37.7749295","-122.4194155"
"Age of Adaline","2015","Pier 50- end of the pier","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn","37.7739633","-122.3871498"
"Age of Adaline","2015","California @ Montgomery","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn","37.79730929999999","-122.4036994"
"Age of Adaline","2015","Montgomery/Green","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn","37.8001126","-122.4042717"
"Age of Adaline","2015","Driving various SF Streets","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn","37.7640751","-122.4188655"
"Age of Adaline","2015","Plate Shots SF streets various","","Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment","","Lee Toland Krieger","J. Mills Goodloe","Blake Lively","Harrison Ford","Ellen Burstyn","37.7749295","-122.4194155"
"A Jitney Elopement","1915","20th and Folsom Streets","","The Essanay Film Manufacturing Company","General Film Company","Charles Chaplin","Charles Chaplin","Charles Chaplin","Edna Purviance","","37.7589107","-122.4147198"
"A Jitney Elopement","1915","Golden Gate Park","During San Francisco's Gold Rush era, the Park was part of an area designated as the ""Great Sand Waste"". ","The Essanay Film Manufacturing Company","General Film Company","Charles Chaplin","Charles Chaplin","Charles Chaplin","Edna Purviance","","37.7694208","-122.4862138"
"A Jitney Elopement","1915","Golden Gate Park","During San Francisco's Gold Rush era, the Park was part of an area designated as the ""Great Sand Waste"". ","The Essanay Film Manufacturing Company","General Film Company","Charles Chaplin","Charles Chaplin","Charles Chaplin","Edna Purviance","","37.7694208","-122.4862138"
"A Jitney Elopement","1915","20th and Folsom Streets","","The Essanay Film Manufacturing Company","General Film Company","Charles Chaplin","Charles Chaplin","Charles Chaplin","Edna Purviance","","37.7589107","-122.4147198"
"Alcatraz","2012","Chestnut St. from Larkin to Columbus","","Bonanza Productions Inc.","Warner Bros. Television","J.J. Abrams","Steven Lilien","Sarah Jones","Jorge Garcia","","37.8022253","-122.4252841"
"Alcatraz","2012","Taylor St. from Broadway to Filbert","","Bonanza Productions Inc.","Warner Bros. Television","J.J. Abrams","Steven Lilien","Sarah Jones","Jorge Garcia","","37.797071","-122.413562"
"Alcatraz","2012","Francisco St from Larkin to Polk","","Bonanza Productions Inc.","Warner Bros. Television","J.J. Abrams","Steven Lilien","Sarah Jones","Jorge Garcia","","37.7850952","-122.4182718"
"Alcatraz","2012","Broadway from Mason to Taylor","","Bonanza Productions Inc.","Warner Bros. Television","J.J. Abrams","Steven Lilien","Sarah Jones","Jorge Garcia","","37.80527230000001","-122.4152298"
"Alcatraz","2012","Leavenworth from Filbert & Francisco St","","Bonanza Productions Inc.","Warner Bros. Television","J.J. Abrams","Steven Lilien","Sarah Jones","Jorge Garcia","","",""
"Alcatraz","2012","Filbert St. from Jones to Mason","","Bonanza Productions Inc.","Warner Bros. Television","J.J. Abrams","Steven Lilien","Sarah Jones","Jorge Garcia","","37.7995352","-122.4238833"
"Alcatraz","2012","Filbert St. from Jones to Mason","","Bonanza Productions Inc.","Warner Bros. Television","J.J. Abrams","Steven Lilien","Sarah Jones","Jorge Garcia","","37.7995352","-122.4238833"
"Alcatraz","2012","Leavenworth from Filbert & Francisco St","","Bonanza Productions Inc.","Warner Bros. Television","J.J. Abrams","Steven Lilien","Sarah Jones","Jorge Garcia","","",""
"Alcatraz","2012","Broadway from Mason to Taylor","","Bonanza Productions Inc.","Warner Bros. Television","J.J. Abrams","Steven Lilien","Sarah Jones","Jorge Garcia","","37.80527230000001","-122.4152298"
"Alcatraz","2012","Francisco St from Larkin to Polk","","Bonanza Productions Inc.","Warner Bros. Television","J.J. Abrams","Steven Lilien","Sarah Jones","Jorge Garcia","","37.7850952","-122.4182718"
"Alcatraz","2012","Taylor St. from Broadway to Filbert","","Bonanza Productions Inc.","Warner Bros. Television","J.J. Abrams","Steven Lilien","Sarah Jones","Jorge Garcia","","37.797071","-122.413562"
"Alcatraz","2012","Chestnut St. from Larkin to Columbus","","Bonanza Productions Inc.","Warner Bros. Television","J.J. Abrams","Steven Lilien","Sarah Jones","Jorge Garcia","","37.8022253","-122.4252841"
"Jade","1995","Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Paramount Pictures","Paramount Pictures","William Friedkin","Joe Eszterhas","David Caruso","Linda Fiorentino","Chazz Palminteri","37.7923897","-122.4104443"
"Greed","1924","Cliff House (1090 Point Lobos Avenue)","In 1887, the Cliff House was severely damaged when the schooner Parallel, abandoned and loaded with dynamite, ran aground on the rocks below.","Metro-Goldwyn-Mayer (MGM)","Metro-Goldwyn-Mayer (MGM)","Eric von Stroheim ","Eric von Stroheim ","Zasu Pitts","Gibson Gowland","Jean Hersholt","37.778507","-122.5139808"
"Alexander's Ragtime Band","1938","San Francisco Bay","","Twentieth Century Fox Film Corporation","Twentieth Century Fox Film Corporation","Henry King","Kathryn Scola","Tyrone Power","Alice Faye","Don Ameche","37.6909682","-122.3107517"
"Alexander's Ragtime Band","1938","San Francisco Bay","","Twentieth Century Fox Film Corporation","Twentieth Century Fox Film Corporation","Henry King","Kathryn Scola","Tyrone Power","Alice Faye","Don Ameche","37.7749295","-122.4194155"
"Alexander's Ragtime Band","1938","Cliff House (1090 Point Lobos Avenue)","In 1887, the Cliff House was severely damaged when the schooner Parallel, abandoned and loaded with dynamite, ran aground on the rocks below.","Twentieth Century Fox Film Corporation","Twentieth Century Fox Film Corporation","Henry King","Kathryn Scola","Tyrone Power","Alice Faye","Don Ameche","37.778507","-122.5139808"
"Alexander's Ragtime Band","1938","Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Twentieth Century Fox Film Corporation","Twentieth Century Fox Film Corporation","Henry King","Kathryn Scola","Tyrone Power","Alice Faye","Don Ameche","37.7923897","-122.4104443"
"All About Eve","1950","Curran Theater (445 Geary Street)","Called the Shubert Theatre in the film.","Twentieth Century Fox Film Corp.","Twentieth Century Fox Film Corp.","Joseph L. Mankiewicz","Joseph L. Mankiewicz","Bette Davis","Anne Baxter","George Sanders","37.7869708","-122.4105671"
"All About Eve","1950","Curran Theater (445 Geary Street)","Called the Shubert Theatre in the film. ","Twentieth Century Fox Film Corp.","Twentieth Century Fox Film Corp.","Joseph L. Mankiewicz","Joseph L. Mankiewicz","Bette Davis","Anne Baxter","George Sanders","37.7869708","-122.4105671"
"The OA Part II","2019","Pier 7","","Lunar Mining LLC","Netflix","Zal Batmanglij","Zal Batmanglij, Brit Marling","Brit Marling","Emory Cohen","Patrick Gibson","37.8001077","-122.3943664"
"Always Be My Maybe","2019","Haight St at Masonic","","Isla Productions, LLC","Netflix","Nahnatchka Khan","Michael Golamco, Randall Park, Ali Wong","Ali Wong","Randall Park","Keanu Reeves","37.7702198","-122.4453661"
"Always Be My Maybe","2019","Pier 45 - Musee Mechanique","","Isla Productions, LLC","Netflix","Nahnatchka Khan","Michael Golamco, Randall Park, Ali Wong","Ali Wong","Randall Park","Keanu Reeves","37.8093405","-122.4160609"
"Always Be My Maybe","2019","de Young Museum/Golden Gate Park","","Isla Productions, LLC","Netflix","Nahnatchka Khan","Michael Golamco, Randall Park, Ali Wong","Ali Wong","Randall Park","Keanu Reeves","37.771469","-122.4686755"
"Always Be My Maybe","2019","19th Ave Home","","Isla Productions, LLC","Netflix","Nahnatchka Khan","Michael Golamco, Randall Park, Ali Wong","Ali Wong","Randall Park","Keanu Reeves","37.7573929","-122.476838"
"Always Be My Maybe","2019","Golden Gate Music Concourse","","Isla Productions, LLC","Netflix","Nahnatchka Khan","Michael Golamco, Randall Park, Ali Wong","Ali Wong","Randall Park","Keanu Reeves","37.76987570000001","-122.4685506"
"Always Be My Maybe","2019","Contemporary Jewish Museum","When Sasha, Keanu, Jenny and Marcus go for dinner together, the restaurant (known in the film as ""maximal"") is actually San Francisco's Contemporary Jewish Museum.","Isla Productions, LLC","Netflix","Nahnatchka Khan","Michael Golamco, Randall Park, Ali Wong","Ali Wong","Randall Park","Keanu Reeves","37.7860085","-122.4037009"
"Always Be My Maybe","2019","26th Ave and El Camino Del mar","","Isla Productions, LLC","Netflix","Nahnatchka Khan","Michael Golamco, Randall Park, Ali Wong","Ali Wong","Randall Park","Keanu Reeves","37.7875688","-122.4863623"
"Always Be My Maybe","2019","Trax Bar, Haight St","","Isla Productions, LLC","Netflix","Nahnatchka Khan","Michael Golamco, Randall Park, Ali Wong","Ali Wong","Randall Park","Keanu Reeves","37.7700415","-122.4460607"
"Always Be My Maybe","2019","22nd Ave Home","","Isla Productions, LLC","Netflix","Nahnatchka Khan","Michael Golamco, Randall Park, Ali Wong","Ali Wong","Randall Park","Keanu Reeves","37.759701","-122.4801107"
"A Taiwanese Tale of Two Cities","2018","Palace of Fine Arts (3301 Lyon Street)","","Envision Productions Inc.","Netflix","Tien-Lun Yeh","Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin","Tammy Cheng","Peggy Tseng","Shen-Hao Wen","37.8019913","-122.4486565"
"Always Be My Maybe","2019","California Cable Car Line","","Isla Productions, LLC","Netflix","Nahnatchka Khan","Michael Golamco, Randall Park, Ali Wong","Ali Wong","Randall Park","Keanu Reeves","37.7904133","-122.4220916"
"Vertigo","1958","Fort Point (Presidio, Golden Gate National Recreation Area)","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.","Alfred J. Hitchcock Productions","Paramount Pictures","Alfred Hitchcock","Alec Coppel","James Stewart","Kim Novak","Barbara Bel Geddes","37.8106185","-122.4770527"
"Always Be My Maybe","2019","Kearny btwn Columbus and Washington","","Isla Productions, LLC","Netflix","Nahnatchka Khan","Michael Golamco, Randall Park, Ali Wong","Ali Wong","Randall Park","Keanu Reeves","37.79555","-122.4033255"
"Always Be My Maybe","2019","Fairmont Hotel - Penthouse Suite","Keanu Reeves' penthouse suite scenes were filmed at San Francisco's Fairmont Hotel.","Isla Productions, LLC","Netflix","Nahnatchka Khan","Michael Golamco, Randall Park, Ali Wong","Ali Wong","Randall Park","Keanu Reeves","37.7923897","-122.4104443"
"Always Be My Maybe","2019","717 Grant Ave","","Isla Productions, LLC","Netflix","Nahnatchka Khan","Michael Golamco, Randall Park, Ali Wong","Ali Wong","Randall Park","Keanu Reeves","37.7936544","-122.4063975"
"Always Be My Maybe","2019","Heart of the City Farmers Market at UN Plaza","","Isla Productions, LLC","Netflix","Nahnatchka Khan","Michael Golamco, Randall Park, Ali Wong","Ali Wong","Randall Park","Keanu Reeves","37.7798234","-122.4149338"
"Americana","2015","Roxie Theater (3117 16th St.)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7646581","-122.422429"
"Americana","2015","St. Francis Episcopal Church (399 San Fernando Way)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7303135","-122.4698163"
"Americana","2015","679 Madrid St","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7187457","-122.4347285"
"Americana","2015","The San Francisco School (300 Gavin St.)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7327817","-122.4113534"
"Americana","2015","Variety Preview Room (582 Market St.)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7894639","-122.401621"
"Americana","2015","33 Spruce St","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7903388","-122.4544114"
"Flubber","1997","Treasure Island","An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.","Walt Disney Pictures","Buena Vista Pictures","Les Mayfield","Samuel W. Taylor","Robin Williams","Marcia Gay Harden","","37.8235515","-122.370648"
"Sense8","2015","Laguna Honda Hospital; 375 Laguna Honda Blvd.","dialogue scene","Unpronounceable Productions, LLC","Netflix","The Wachowskis","The Wachowskis","Jamie Clayton","","","37.7488896","-122.457074"
"Americana","2015","John Shelley Drive John McLaren Park","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7221501","-122.4187998"
"Americana","2015","Jackson St. at Spruce","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7899861","-122.4541352"
"Americana","2015","Palace of Fine Arts","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.8019913","-122.4486565"
"Americana","2015","Foreign Cinema (2534 Mission)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7564872","-122.4190452"
"Americana","2015","Coi Restaurant (373 Broadway)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7980647","-122.4034273"
"A Taiwanese Tale of Two Cities","2018","Bernal Heights Park","","Envision Productions Inc.","Netflix","Tien-Lun Yeh","Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin","Tammy Cheng","Peggy Tseng","Shen-Hao Wen","37.7433416","-122.4139925"
"Americana","2015","20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7605602","-122.3875894"
"Americana","2015","3232 Jackson Ave.","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7908862","-122.4487806"
"Americana","2015","Romolo Place @ Fresno St.","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7986013","-122.4063965"
"Americana","2015","St. Francis Episcopal Church (399 San Fernando Way)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7303135","-122.4698163"
"Americana","2015","Romolo Place @ Fresno St.","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7986013","-122.4063965"
"Americana","2015","Palace of Fine Arts","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.8019913","-122.4486565"
"Americana","2015","John Shelley Drive John McLaren Park","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7221501","-122.4187998"
"Americana","2015","Treasure Island","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.8235515","-122.370648"
"Americana","2015","The San Francisco School (300 Gavin St.)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7327817","-122.4113534"
"Americana","2015","33 Spruce St","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7903388","-122.4544114"
"Americana","2015","Coi Restaurant (373 Broadway)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7980647","-122.4034273"
"Americana","2015","Foreign Cinema (2534 Mission)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7564872","-122.4190452"
"Americana","2015","Bernal Heights Park","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7433416","-122.4139925"
"Americana","2015","Jackson St. at Spruce","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7899861","-122.4541352"
"Americana","2015","679 Madrid St","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7187457","-122.4347285"
"Americana","2015","Roxie Theater (3117 16th St.)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7646581","-122.422429"
"Americana","2015","Variety Preview Room (582 Market St.)","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7894639","-122.401621"
"Americana","2015","Laguna Honda Hospital; 375 Laguna Honda Blvd.","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7488896","-122.457074"
"Americana","2015","3232 Jackson Ave.","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7908862","-122.4487806"
"Americana","2015","20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs","","Sutro Films LLC","","Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","37.7605602","-122.3875894"
"American Graffiti","1973","3355 Geary Blvd.","","Universal Pictures","Universal Pictures'","George Lucas","George Lucas","Richard Dreyfuss","Ron Howard","Paul Le Mat","37.7811247","-122.4548393"
"American Graffiti","1973","Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District)","This restaurant location was demolished; however another Mel's was reopened in 1986 on 3355 Geary Blvd. ","Universal Pictures","Universal Pictures'","George Lucas","George Lucas","Richard Dreyfuss","Ron Howard","Paul Le Mat","37.7856116","-122.4210935"
"American Graffiti","1973","Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District)","This restaurant location was demolished; however another Mel's was reopened in 1986 on 3355 Geary Blvd. ","Universal Pictures","Universal Pictures'","George Lucas","George Lucas","Richard Dreyfuss","Ron Howard","Paul Le Mat","37.7856116","-122.4210935"
"American Graffiti","1973","3355 Geary Blvd.","","Universal Pictures","Universal Pictures'","George Lucas","George Lucas","Richard Dreyfuss","Ron Howard","Paul Le Mat","37.7811247","-122.4548393"
"American Yearbook","2004","","","All Planet Studios","N/A","Brian Ging","Brian Ging","Nick Tagas","Jon Carlo Alvarez","","37.7749295","-122.4194155"
"American Yearbook","2004","","","All Planet Studios","N/A","Brian Ging","Brian Ging","Nick Tagas","Jon Carlo Alvarez","","37.7749295","-122.4194155"
"A Night Full of Rain","1978","Broadway (North Beach)","","Liberty Film","Warner Bros. Pictures","Lina Wertmuller","Lina Wertmuller","Candice Bergen","Giancarlo Gianni","","37.7959394","-122.4218895"
"Freebie and the Bean","1974","Embarcadero Freeway","","Warner Bros. Pictures","American Broadcasting Company (ABC)","Richard Rush","Robert Kaufman","Alan Arkin","James Caan","Loretta Swit","37.7876159","-122.2495915"
